id,text,sentiment
0,ব্যাংকের কর্মীরা অত্যন্ত দক্ষ এবং সহযোগী। তাদের পেশাদারিত্ব দেখে আমি মুগ্ধ।,positive
1,আমি কোম্পানির নতুন প্রোডাক্ট সম্পর্কে জানতে চাই। এটি কোথায় পাওয়া যাবে?,neutral
2,কোম্পানির সেবা মানুষের টাকা নষ্ট করার জন্য। আমি এদের থেকে দূরে থাকতে চাই।,negative
3,ব্যাংকের সিস্টেম প্রায়ই ডাউন থাকে। জরুরি সময়ে অ্যাকাউন্ট অ্যাক্সেস করতে পারি না।,negative
4,ব্যাংকের নোটিফিকেশন সিস্টেম কাজ করে না। আমি আমার ট্রানজেকশনের কোন আপডেট পাই না।,negative
5,কোম্পানির প্রোডাক্ট কি অনলাইনে অর্ডার করা যায়? ডেলিভারি চার্জ কত?,neutral
6,কোম্পানির অফার কি শুধু নতুন গ্রাহকদের জন্য? পুরানো গ্রাহকদের কি কোন সুবিধা নেই?,neutral
7,ব্যাংকের ডকুমেন্টেশন প্রক্রিয়া অত্যন্ত জটিল। একটা সাধারণ অ্যাকাউন্ট খুলতে অনেক কাগজপত্র লাগে।,negative
8,ব্যাংকের সিডি সুবিধা আমাকে অতিরিক্ত আয় করতে সাহায্য করেছে। এটি একটি চমৎকার বিনিয়োগ সুযোগ।,positive
9,আমি কোম্পানির সার্ভিস নিয়ে খুবই সন্তুষ্ট। তাদের দ্রুত সেবা এবং সহায়তা আমাকে মুগ্ধ করেছে।,positive
10,ব্যাংকের শাখার পরিবেশ খুব পরিষ্কার এবং আরামদায়ক। কর্মীরা সবসময় হাসিমুখে সেবা দেয়।,positive
11,কোম্পানি আমার জীবন সহজ করে দিয়েছে। আজকাল সবই ঘরে বসে করতে পারি। খুবই আরামদায়ক।,positive
12,ব্যাংকের লকার সুবিধা কেমন? খরচ কত?,neutral
13,কোম্পানির ওয়ারেন্টি রেজিস্ট্রেশন কিভাবে করব? অনলাইনে কি সম্ভব?,neutral
14,কোম্পানির নিয়োগ প্রক্রিয়া কি? আমি আবেদন করতে চাই।,neutral
15,"ব্যাংকের ঋণ সুবিধা অত্যন্ত উপকারী, কম সুদে এবং সহজ শর্তে ঋণ পাওয়া যায়। আমি গৃহঋণ নিয়েছি এবং খুবই সন্তুষ্ট।",positive
16,ব্যাংকের ডিমাট অ্যাকাউন্ট খোলার প্রক্রিয়া কি? কি কি ডকুমেন্ট লাগবে?,neutral
17,ব্যাংকের নতুন ফি স্ট্রাকচার খুবই বেশি। এটা গ্রাহকদের উপর অতিরিক্ত চাপ তৈরি করছে।,negative
18,ব্যাংকের মিউচুয়াল ফান্ড পরিষেবা আমার ভবিষ্যৎ সুরক্ষিত করতে সাহায্য করেছে। ভালো রিটার্ন পাচ্ছি।,positive
19,ব্যাংকের ক্রেডিট কার্ড রিওয়ার্ড সিস্টেম অসাধারণ। আমি নিয়মিত ক্যাশব্যাক পাই যা সত্যিই উপকারী।,positive
20,ব্যাংকের এজেন্ট ব্যাংকিং কি? এটা কিভাবে কাজ করে জানতে চাই।,neutral
21,ব্যাংকের কর্মীরা নতুন নিয়ম সম্পর্কে যথেষ্ট জ্ঞান রাখে না। অনেক সময় ভুল তথ্য দেয়।,negative
22,"ব্যাংকের সময়মত খবর পাঠানোর সিস্টেম খুব ভালো, আমি সবসময় আমার অ্যাকাউন্টের আপডেট পাই।",positive
23,ব্যাংকের অনলাইন পোর্টাল কিভাবে ব্যবহার করতে হয়? আমি নতুন একাউন্ট খুলেছি।,neutral
24,কোম্পানির দাম অত্যধিক বেশি। একই পণ্য অন্য কোম্পানি থেকে অনেক কম দামে পাওয়া যায়।,negative
25,ব্যাংকের ঋণের সুদের হার কত? আমি হোম লোন নিতে চাই।,neutral
26,কোম্পানির অনলাইন সুরক্ষা ব্যবস্থা অত্যন্ত শক্তিশালী। আমি সম্পূর্ণ নিরাপদ বোধ করি এখানে লেনদেন করতে।,positive
27,কোম্পানির সিকিউরিটি সিস্টেম দুর্বল। আমার অ্যাকাউন্ট হ্যাক হয়েছিল গত মাসে।,negative
28,কোম্পানির পণ্যের মান আগের তুলনায় অনেক খারাপ হয়েছে। আমি এদের পণ্য কেনা বন্ধ করব।,negative
29,কোম্পানির প্রতি আমার বিশ্বাস দিন দিন বাড়ছে। তারা আমাদের তথ্য সুরক্ষার বিষয়ে খুব যত্নবান।,positive
30,কোম্পানির সার্ভিস সেন্টারগুলো কোথায় কোথায়? আমার এলাকার কাছে কোনটি আছে?,neutral
31,কোম্পানির অভিযোগ নিষ্পত্তি প্রক্রিয়া খুব দ্রুত এবং কার্যকর। আমার সমস্যা তারা এক দিনে সমাধান করেছে।,positive
32,Payment Tk 300.00 to Grameenphone Ltd-Mycompany_y Direct Charge-RM50518 is successful. এমন একটা ম্যাসেজ দিয়ে ৩০০ টাকা কেটে নিছে কারন কি?  আমি কোন গ্রামিন সিম ব্যবহার করি না।  company_xে নক দিলে তারা বলতেছে এটা একটা সার্ভিস। তবে আমার জানা মতে আমি এমন করে সার্ভিস এড করিনি।,negative
33,ব্যাংকের এফডি স্কিমের বিস্তারিত জানতে চাই। কত সময়ের জন্য এফডি করা যায়?,neutral
34,ব্যাংকের এজেন্টরা সবসময় যত্ন সহকারে আমার সমস্যা শোনেন এবং সমাধান দেন। সার্ভিস খুবই ভালো।,positive
35,কোম্পানির প্রোডাক্ট কোথায় কোথায় বিক্রি হয়? আমার এলাকায় কি আছে?,neutral
36,কোম্পানির গ্রাহক সেবা বিভাগ খুব তাড়াতাড়ি আমার সমস্যার সমাধান করেছে। ধন্যবাদ তাদের দক্ষতার জন্য।,positive
37,কোম্পানির সিস্টেমে ধারাবাহিক সমস্যা হচ্ছে। প্রতিদিনই কোন না কোন বাগ দেখা যায়।,negative
38,কোম্পানির বিক্রয় পরবর্তী সেবা অত্যন্ত নিম্নমানের। আমি এখন পর্যন্ত সমাধান পাইনি।,negative
